
Playing Time	Performance	Expected	Progression	Per 90 Minutes	
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	xG	npxG	xAG	npxG+xAG	PrgC	PrgP	PrgR	Gls	Ast	G+A	G-PK	G+A-PK	xG	xAG	xG+xAG	npxG	npxG+xAG	Matches
36	Luiz Araújo	br BRA	FW,MF	Flamengo	27	1996	25	15	1,566	17.4	4	5	9	4	0	0	3	0	3.1	3.1	4.6	7.7	54	74	126	0.23	0.29	0.52	0.23	0.52	0.18	0.27	0.44	0.18	0.44	Matches
37	Matheus Araújo	br BRA	MF	Corinthians	21	2002	4	0	43	0.5	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
38	Michel Araujo	uy URU	DF,FW	São Paulo	27	1996	20	9	858	9.5	0	1	1	0	0	0	4	0	1.2	1.2	1.7	2.8	22	45	50	0.00	0.10	0.10	0.00	0.10	0.12	0.17	0.30	0.12	0.30	Matches
39	Alexander Aravena	cl CHI	FW,MF	Grêmio	21	2002	16	11	770	8.6	2	2	4	2	0	0	0	0	2.2	2.2	1.1	3.3	22	15	65	0.23	0.23	0.47	0.23	0.47	0.26	0.13	0.38	0.26	0.38	Matches
40	Robert Arboleda	ec ECU	DF	São Paulo	32	1991	27	25	2,256	25.1	2	0	2	2	0	0	3	0	1.4	1.4	0.5	1.9	2	45	3	0.08	0.00	0.08	0.08	0.08	0.05	0.02	0.07	0.05	0.07	Matches
41	Lucas Arcanjo	br BRA	GK	Vitória	25	1998	37	37	3,330	37.0	0	0	0	0	0	0	4	0	0.0	0.0	0.0	0.0	0	0	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
42	Matias Arezo	uy URU	FW,MF	Grêmio	21	2002	10	0	112	1.2	0	0	0	0	0	0	0	0	0.9	0.9	0.2	1.0	2	3	14	0.00	0.00	0.00	0.00	0.00	0.69	0.12	0.81	0.69	0.81	Matches
43	Jhon Arias	co COL	FW	Fluminense	26	1997	27	26	2,376	26.4	7	3	10	7	0	2	6	0	6.7	5.1	3.4	8.5	94	92	215	0.27	0.11	0.38	0.27	0.38	0.25	0.13	0.38	0.19	0.32	Matches
44	Santiago Arias	co COL	DF	Bahia	32	1992	23	21	1,884	20.9	0	1	1	0	0	0	2	1	0.6	0.6	3.1	3.6	57	115	185	0.00	0.05	0.05	0.00	0.05	0.03	0.15	0.17	0.03	0.17	Matches
45	Arthur	br BRA	FW	Cruzeiro	25	1998	21	14	1,273	14.1	2	1	3	2	0	0	1	0	1.6	1.6	0.8	2.5	48	35	130	0.14	0.07	0.21	0.14	0.21	0.11	0.06	0.17	0.11	0.17	Matches
46	Arthur	br BRA	FW	Criciúma	31	1992	33	18	1,671	18.6	5	1	6	5	0	0	4	0	5.0	5.0	1.7	6.7	12	26	87	0.27	0.05	0.32	0.27	0.32	0.27	0.09	0.36	0.27	0.36	Matches
47	Arthur	br BRA	FW	Corinthians	20	2003	1	0	21	0.2	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
48	Arthur	br BRA	FW,MF	RB Bragantino	20	2003	8	0	153	1.7	0	0	0	0	0	0	1	0	0.1	0.1	1.0	1.1	0	1	7	0.00	0.00	0.00	0.00	0.00	0.04	0.60	0.64	0.04	0.64	Matches
49	Filipe Augusto	br BRA	MF	Cuiabá	30	1993	19	9	844	9.4	0	0	0	0	0	0	6	0	0.3	0.3	0.1	0.4	5	32	6	0.00	0.00	0.00	0.00	0.00	0.03	0.01	0.04	0.03	0.04	Matches
50	Renato Augusto	br BRA	MF,FW	Fluminense	35	1988	17	2	442	4.9	1	1	2	1	0	0	0	0	0.7	0.7	0.8	1.5	8	21	17	0.20	0.20	0.41	0.20	0.41	0.14	0.16	0.30	0.14	0.30	Matches
51	Yarlen Augusto	br BRA	MF	Botafogo (RJ)	17	2006	4	0	79	0.9	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	1	0	6	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.04	0.04	0.04	Matches
52	Pablo Baianinho	br BRA	MF,FW	Vitória	20	2003	3	0	37	0.4	0	0	0	0	0	0	1	0	0.1	0.1	0.0	0.1	3	0	5	0.00	0.00	0.00	0.00	0.00	0.13	0.07	0.20	0.13	0.20	Matches
53	Gabriel Baralhas	br BRA	MF	Atl Goianiense	25	1998	33	31	2,452	27.2	1	3	4	1	0	0	9	0	2.4	2.4	2.4	4.8	22	121	59	0.04	0.11	0.15	0.04	0.15	0.09	0.09	0.17	0.09	0.17	Matches
54	Danilo Barbosa	br BRA	MF	Botafogo (RJ)	27	1996	25	14	1,153	12.8	3	1	4	3	0	0	4	0	1.3	1.3	0.4	1.7	9	53	13	0.23	0.08	0.31	0.23	0.31	0.10	0.03	0.13	0.10	0.13	Matches
55	Diogo Barbosa	br BRA	DF	Fluminense	31	1992	25	20	1,849	20.5	0	0	0	0	0	0	6	0	0.1	0.1	1.3	1.4	42	114	80	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.07	0.00	0.07	Matches
56	Gabriel Barbosa	br BRA	FW,MF	Flamengo	27	1996	19	7	754	8.4	4	1	5	2	2	2	2	0	5.2	3.6	0.9	4.5	17	24	42	0.48	0.12	0.60	0.24	0.36	0.62	0.11	0.73	0.43	0.54	Matches
57	Lucas Barbosa	br BRA	FW	Juventude	22	2001	33	32	2,443	27.1	7	2	9	7	0	0	12	1	6.4	6.4	3.4	9.8	61	103	165	0.26	0.07	0.33	0.26	0.33	0.23	0.12	0.36	0.23	0.36	Matches
58	Alexander Barboza	ar ARG	DF	Botafogo (RJ)	28	1995	26	23	2,033	22.6	0	1	1	0	0	0	11	2	1.4	1.4	1.0	2.3	14	90	7	0.00	0.04	0.04	0.00	0.04	0.06	0.04	0.10	0.06	0.10	Matches
59	Baltasar Barcia	uy URU	MF,FW	Criciúma	22	2001	4	0	25	0.3	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
60	Álvaro Barreal	ar ARG	MF,FW	Cruzeiro	23	2000	28	17	1,488	16.5	2	4	6	2	0	0	6	0	2.4	2.4	1.6	4.0	29	69	113	0.12	0.24	0.36	0.12	0.36	0.14	0.10	0.24	0.14	0.24	Matches
61	Barreto	br BRA	MF	Criciúma	28	1995	30	29	2,281	25.3	2	2	4	2	0	0	5	0	3.1	3.1	0.9	4.0	18	92	35	0.08	0.08	0.16	0.08	0.16	0.12	0.04	0.16	0.12	0.16	Matches
62	Gabriel Barros	br BRA	FW,MF	Atl Goianiense	22	2001	2	1	79	0.9	0	0	0	0	0	0	2	1	0.0	0.0	0.0	0.0	0	3	4	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.05	Matches
63	Bastos	ao ANG	DF	Botafogo (RJ)	32	1991	32	31	2,628	29.2	3	0	3	3	0	0	6	0	1.7	1.7	0.1	1.8	12	111	7	0.10	0.00	0.10	0.10	0.10	0.06	0.00	0.06	0.06	0.06	Matches
64	Rodrigo Battaglia	ar ARG	DF,MF	Atlético Mineiro	32	1991	26	26	2,285	25.4	0	0	0	0	0	0	7	2	0.4	0.4	0.1	0.5	21	78	6	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.02	0.02	Matches
65	José Luis Rodríguez Bebanz	uy URU	DF,FW	Vasco da Gama	26	1997	22	12	1,123	12.5	1	2	3	1	0	0	1	0	0.7	0.7	2.1	2.8	38	51	108	0.08	0.16	0.24	0.08	0.24	0.06	0.16	0.22	0.06	0.22	Matches
